Hiber-loss	LSTM-Loss	
 2.0229e+00	 2.4564e-01	
 2.1199e+00	 2.3588e-01	
 2.0976e+00	 2.3796e-01	
 2.0994e+00	 2.4557e-01	
 2.0643e+00	 2.4040e-01	
 2.1312e+00	 2.4113e-01	
 2.1634e+00	 2.4044e-01	
 2.0735e+00	 2.4070e-01	
 2.1334e+00	 2.4044e-01	
 2.1329e+00	 2.4779e-01	
 2.0792e+00	 2.3564e-01	
 2.1294e+00	 2.4680e-01	
 2.1670e+00	 2.4352e-01	
 2.0917e+00	 2.4178e-01	
 2.1599e+00	 2.4660e-01	
 2.1075e+00	 2.3744e-01	
 2.0531e+00	 2.4307e-01	
 2.1393e+00	 2.4254e-01	
 2.0752e+00	 2.4861e-01	
 2.0625e+00	 2.4260e-01	
 2.0947e+00	 2.4243e-01	
 2.0944e+00	 2.3514e-01	
 2.1354e+00	 2.3870e-01	
 2.1090e+00	 2.4150e-01	
 2.0962e+00	 2.3448e-01	
 2.0883e+00	 2.4384e-01	
 2.1194e+00	 2.4931e-01	
 2.0325e+00	 2.3704e-01	
 2.1535e+00	 2.4314e-01	
 2.1054e+00	 2.4768e-01	
 2.0584e+00	 2.4362e-01	
 2.0344e+00	 2.4040e-01	
 2.1024e+00	 2.4665e-01	
 2.1351e+00	 2.3933e-01	
 2.0469e+00	 2.3756e-01	
 2.0272e+00	 2.4776e-01	
 2.1774e+00	 2.4448e-01	
 2.0532e+00	 2.4669e-01	
 2.0354e+00	 2.4323e-01	
 2.1061e+00	 2.4852e-01	
 2.0768e+00	 2.2766e-01	
 2.0997e+00	 2.4192e-01	
 2.0697e+00	 2.4241e-01	
 2.0843e+00	 2.4548e-01	
 2.0623e+00	 2.4491e-01	
 2.0098e+00	 2.4119e-01	
 2.0012e+00	 2.3920e-01	
 1.9612e+00	 2.3803e-01	
 2.0889e+00	 2.3486e-01	
 2.0972e+00	 2.4240e-01	
 2.0680e+00	 2.3577e-01	
 2.0560e+00	 2.4693e-01	
 2.0232e+00	 2.3868e-01	
 2.0358e+00	 2.3156e-01	
 2.0812e+00	 2.4522e-01	
 2.0455e+00	 2.4502e-01	
 2.1002e+00	 2.4477e-01	
 1.9987e+00	 2.4035e-01	
 2.0487e+00	 2.3874e-01	
 2.0535e+00	 2.3849e-01	
 2.0566e+00	 2.3912e-01	
 2.0527e+00	 2.3585e-01	
 2.0732e+00	 2.4629e-01	
 2.0717e+00	 2.4283e-01	
 2.0807e+00	 2.3801e-01	
 2.0336e+00	 2.3280e-01	
 2.0282e+00	 2.3675e-01	
 1.9156e+00	 2.3194e-01	
 1.9494e+00	 2.3725e-01	
 2.0607e+00	 2.3264e-01	
 2.0690e+00	 2.2998e-01	
 2.1588e+00	 2.3685e-01	
 2.0887e+00	 2.4058e-01	
 2.1650e+00	 2.3813e-01	
 2.1580e+00	 2.3263e-01	
 2.1720e+00	 2.4183e-01	
 2.2247e+00	 2.3950e-01	
 2.2097e+00	 2.3390e-01	
 2.1580e+00	 2.2925e-01	
 2.2077e+00	 2.3884e-01	
 2.2081e+00	 2.4025e-01	
 2.2376e+00	 2.2820e-01	
 2.2022e+00	 2.4064e-01	
 2.1842e+00	 2.3750e-01	
 2.2401e+00	 2.3449e-01	
 2.2129e+00	 2.3683e-01	
 2.1935e+00	 2.3470e-01	
 2.1977e+00	 2.3499e-01	
 2.2444e+00	 2.3510e-01	
 2.2385e+00	 2.3466e-01	
 2.2351e+00	 2.4308e-01	
 2.2119e+00	 2.3349e-01	
 2.1840e+00	 2.4319e-01	
 2.1934e+00	 2.3561e-01	
 2.1880e+00	 2.2335e-01	
